energy_cost,reheat_kwh,holding_min,poured_batches,missing_batches,peak_kw,solar_saving,seed,mode,n_gen,pop_size,tier,wall_time_sec
28456.688583333336,7.5,1.0,12,0,1346.123972958097,788.4359166666671,0,energy,50,50,reduced,39.16
28304.76741666667,0.0,0.0,12,0,1346.2119510451553,1159.4645833333336,1,energy,50,50,reduced,39.53
28343.97004375,0.0,0.0,12,0,1346.123972958097,1035.4018729166662,2,energy,50,50,reduced,39.2
28215.329033333335,90.0,12.0,12,0,1371.0572400848046,1354.2546333333348,3,energy,50,50,reduced,39.65
28190.72174791667,0.0,0.0,12,0,1346.2119510451553,1167.5808354166668,4,energy,50,50,reduced,38.7
28805.2189375,300.0,40.0,12,0,1371.0572400848046,1356.5735625000016,5,energy,50,50,reduced,37.19
28230.60008333334,0.0,0.0,12,0,1346.2119510451553,1113.0860000000005,6,energy,50,50,reduced,37.55
28500.134625000002,15.0,2.0,12,0,1346.123972958097,765.2466250000004,7,energy,50,50,reduced,37.32
28177.009237500002,82.5,11.0,12,0,1371.0572400848046,1347.297845833335,8,energy,50,50,reduced,36.91
28194.900875000003,0.0,0.0,12,0,1346.2119510451553,1136.275291666667,9,energy,50,50,reduced,37.12
28218.073170833333,0.0,0.0,12,0,1346.2119510451553,1189.6106625000002,10,energy,50,50,reduced,36.84
28370.771575000002,0.0,0.0,12,0,1346.2119510451553,1145.5510083333334,11,energy,50,50,reduced,36.67
28595.41804166667,23.75,3.0,12,0,1346.2119510451553,881.1930833333339,12,energy,50,50,reduced,36.73
28456.688583333336,7.5,1.0,12,0,1346.123972958097,788.4359166666671,13,energy,50,50,reduced,36.81
28503.067166666668,7.5,1.0,12,0,1346.0572400848046,742.0573333333338,14,energy,50,50,reduced,36.78
28277.577525,0.0,0.0,12,0,1346.0572400848046,969.3123916666663,15,energy,50,50,reduced,36.76
28139.604712500004,75.0,10.0,12,0,1371.0572400848046,1351.9357041666683,16,energy,50,50,reduced,36.95
28169.541525,0.0,0.0,12,0,1346.0572400848046,969.3123916666663,17,energy,50,50,reduced,36.63
28476.945333333337,15.0,2.0,12,0,1346.123972958097,788.4359166666671,18,energy,50,50,reduced,36.67
28299.378750000003,0.0,0.0,12,0,1346.2119510451553,1113.0860000000005,19,energy,50,50,reduced,36.69
