source_file,source_sheet,power_kw,energy_kwh,duration_min,weight_kg
data/สรุปการหลอมทุก Batch new.xlsx,450_1,450.0,572.0,90.0,360.0
data/สรุปการหลอมทุก Batch new.xlsx,450_2,450.0,602.0,90.0,380.0
data/สรุปการหลอมทุก Batch new.xlsx,450_3,450.0,604.0,95.0,380.0
data/สรุปการหลอมทุก Batch new.xlsx,450_4,450.0,593.0,90.0,381.0
data/สรุปการหลอมทุก Batch new.xlsx,450_5,450.0,614.0,95.0,397.0
data/สรุปการหลอมทุก Batch new.xlsx,450_6,450.0,576.0,90.0,396.0
data/สรุปการหลอมทุก Batch new.xlsx,475_1,475.0,613.0,126.0,399.0
data/สรุปการหลอมทุก Batch new.xlsx,475_2,475.0,579.0,90.0,396.0
data/สรุปการหลอมทุก Batch new.xlsx,500_1,500.0,545.0,90.0,356.0
data/สรุปการหลอมทุก Batch new.xlsx,500_2,500.0,584.0,90.0,396.0
data/สรุปการหลอมทุก Batch new.xlsx,500_3,500.0,585.0,90.0,397.0
data/สรุปการหลอมทุก Batch new.xlsx,500_4,500.0,576.0,85.0,397.0
data/สรุปการหลอมทุก Batch new.xlsx,500_5,500.0,576.0,87.0,397.0
data/สรุปการหลอมทุก Batch new.xlsx,550_1,550.0,547.0,90.0,354.0
data/สรุปการหลอมทุก Batch new.xlsx,550_2,550.0,547.0,90.0,354.0
