perturbed_coefficient,baseline_value,factor,actual_value,mean_cumulative_reward,sd_cumulative_reward,median_cumulative_reward,min_cumulative_reward,max_cumulative_reward
tracking_scale,0.5,0.5,0.25,-1.223256892101623,3.179085380224671,1.5919298029840805,-5.341819127644472,2.206788317762367
tracking_scale,0.5,0.75,0.375,-1.7043680032127342,3.3518648831538167,1.2030409140951912,-6.105708016533361,1.942899428873476
tracking_scale,0.5,1.0,0.5,-2.185479114323845,3.525492243612601,0.8141520252063028,-6.869596905422243,1.6790105399845885
tracking_scale,0.5,1.25,0.625,-2.6665902254349563,3.699848098140902,0.4252631363174144,-7.633485794311129,1.4151216510956992
tracking_scale,0.5,1.5,0.75,-3.147701336546068,3.8748341078751265,0.03637424742852602,-8.397374683200018,1.1512327622068117
safety_scale,5.0,0.5,2.5,-0.9604791143238453,2.2941812681348535,0.8141520252063028,-4.369596905422247,1.6790105399845885
safety_scale,5.0,0.75,3.75,-1.5729791143238443,2.9078708491638223,0.8141520252063028,-5.619596905422243,1.6790105399845885
safety_scale,5.0,1.0,5.0,-2.185479114323845,3.525492243612601,0.8141520252063028,-6.869596905422243,1.6790105399845885
safety_scale,5.0,1.25,6.25,-2.7979791143238453,4.145288378886143,0.8141520252063028,-8.119596905422236,1.6790105399845885
safety_scale,5.0,1.5,7.5,-3.410479114323846,4.766410958833112,0.8141520252063028,-9.369596905422236,1.6790105399845885
progress_scale,2.0,0.5,1.0,-3.062138457651546,3.5400712923321325,-0.05394289435925703,-7.773354839992548,0.8238485493807044
progress_scale,2.0,0.75,1.5,-2.6238087859876957,3.5327800704188728,0.38010456542352333,-7.321475872707387,1.251429544682649
progress_scale,2.0,1.0,2.0,-2.185479114323845,3.525492243612601,0.8141520252063028,-6.869596905422243,1.6790105399845885
progress_scale,2.0,1.25,2.5,-1.7471494426599927,3.5182078330118074,1.2481994849890912,-6.417717938137075,2.1065915352865296
progress_scale,2.0,1.5,3.0,-1.308819770996141,3.51092685988014,1.682246944771868,-5.965838970851923,2.534172530588478
energy_scale,0.02,0.5,0.01,3.726345861262094,3.3679000614441503,6.643652147276619,-0.5149966856956656,7.348310466742404
energy_scale,0.02,0.75,0.015,0.7704333734691218,3.446363048327022,3.7289020862414617,-3.6922967955589527,4.513660503363495
energy_scale,0.02,1.0,0.02,-2.185479114323845,3.525492243612601,0.8141520252063028,-6.869596905422243,1.6790105399845885
energy_scale,0.02,1.25,0.025,-5.141391602116816,3.6052437810183644,-2.100598035828856,-10.046897015285518,-1.1556394233943141
energy_scale,0.02,1.5,0.03,-8.097304089909779,3.6855772605211863,-5.015348096864003,-13.224197125148791,-3.990289386773215
